From;To;Frequency
AUSTRALIA;FRANCE;1
BRAZIL;AUSTRALIA;1
BRAZIL;CANADA;2
BRAZIL;FINLAND;2
BRAZIL;FRANCE;2
BRAZIL;GERMANY;6
BRAZIL;IRAN;1
BRAZIL;ITALY;9
BRAZIL;MEXICO;1
BRAZIL;NEW ZEALAND;1
BRAZIL;NORWAY;2
BRAZIL;PORTUGAL;8
BRAZIL;QATAR;1
BRAZIL;SPAIN;11
BRAZIL;SWEDEN;1
BRAZIL;UNITED KINGDOM;4
BRAZIL;USA;5
GERMANY;AUSTRALIA;1
GERMANY;CANADA;2
GERMANY;FRANCE;1
GERMANY;UNITED KINGDOM;1
IRAN;QATAR;1
ITALY;AUSTRALIA;1
ITALY;FRANCE;1
ITALY;GERMANY;1
ITALY;MEXICO;1
ITALY;UNITED KINGDOM;1
PORTUGAL;AUSTRALIA;1
PORTUGAL;FINLAND;2
PORTUGAL;FRANCE;1
PORTUGAL;GERMANY;1
PORTUGAL;ITALY;1
PORTUGAL;NORWAY;1
PORTUGAL;SPAIN;2
PORTUGAL;SWEDEN;1
PORTUGAL;UNITED KINGDOM;1
SPAIN;AUSTRALIA;1
SPAIN;CANADA;1
SPAIN;FRANCE;1
SPAIN;GERMANY;3
SPAIN;ITALY;8
SPAIN;MEXICO;1
SPAIN;NORWAY;1
SPAIN;UNITED KINGDOM;1
UNITED KINGDOM;AUSTRALIA;1
UNITED KINGDOM;FRANCE;2
USA;CANADA;1
USA;GERMANY;1
USA;SPAIN;1
